1	7	14	9	10	15	12	3	14	0	6	6	3
2	10	5	4	9	5	7	8	0	14	5	2	4
3	13	8	3	13	12	3	12	15	4	9	4	0
4	4	9	12	9	0	0	4	15	13	4	4	11
5	11	15	8	12	3	10	15	12	13	1	1	6
6	7	5	1	15	4	10	4	10	8	15	8	8
7	5	15	7	9	11	14	10	12	1	13	8	0
8	3	11	7	0	7	10	8	7	7	2	9	9
9	5	14	3	15	0	3	15	8	4	15	1	6
10	7	0	14	2	3	0	6	12	3	4	4	13
11	14	8	8	9	7	8	2	9	12	8	12	8
12	10	1	5	7	5	8	2	10	8	4	5	2
13	9	4	8	0	2	7	9	9	4	8	10	2
14	5	0	4	7	8	0	12	1	0	1	12	15
15	14	5	6	9	15	1	13	4	2	2	8	8
16	6	1	11	13	5	3	2	8	4	15	14	6
17	10	4	13	13	0	9	12	5	3	11	11	12
18	4	4	9	7	9	12	5	0	3	6	10	12
19	11	9	11	3	3	10	13	3	4	10	15	3
20	9	2	11	12	0	3	7	3	5	15	7	0
21	10	14	15	5	12	2	9	14	10	7	8	13
22	8	2	4	0	6	15	12	5	7	0	15	6
23	11	7	10	12	7	6	0	11	14	2	9	6
24	4	7	9	0	8	13	0	8	0	5	5	15
25	4	7	10	14	0	4	11	0	10	11	0	5
26	11	10	15	9	2	10	11	8	3	6	4	0
27	11	6	9	0	5	5	6	10	0	12	15	8
28	8	13	1	2	14	6	7	1	4	8	13	6
29	8	2	8	9	8	9	13	2	10	12	3	4
30	0	1	1	5	1	7	6	3	0	13	12	5
31	0	8	5	1	3	0	3	6	14	4	12	7
32	12	5	12	13	12	10	1	0	14	2	10	8
33	6	0	5	9	5	13	3	2	15	9	6	4
34	11	14	2	8	13	1	1	5	8	5	13	9
35	2	7	5	3	14	3	15	12	1	6	6	6
36	14	11	7	14	1	5	12	7	8	9	1	7
37	9	10	7	15	7	4	14	14	5	1	14	3
38	15	5	6	6	15	13	0	4	6	9	3	14
39	7	12	8	2	14	0	0	9	4	13	6	12
40	13	13	5	14	15	13	8	10	14	15	3	5
41	13	7	5	5	4	14	15	2	1	2	3	2
42	15	1	1	10	11	8	13	3	4	12	3	13
43	14	6	7	14	13	14	11	6	8	5	5	10
44	1	4	0	11	1	12	1	14	5	13	7	9
45	14	3	6	11	0	4	3	7	0	3	10	13
46	4	15	10	15	13	8	13	7	1	13	12	4
47	14	0	11	2	5	13	7	15	3	9	6	10
48	13	11	12	11	14	8	5	2	9	1	5	4
49	0	15	10	0	7	4	8	8	12	6	10	11
50	0	8	15	12	9	9	1	15	2	14	9	14
51	1	8	6	3	5	10	14	0	11	5	5	9
52	9	11	6	14	10	8	14	10	5	3	8	3
53	9	13	14	4	14	14	7	13	0	2	5	5
54	6	11	13	14	13	1	6	0	15	7	3	11
55	2	2	3	10	1	9	1	5	13	3	10	6
56	4	4	7	8	15	4	2	9	7	8	6	3
57	11	2	1	0	9	5	1	11	5	13	14	7
58	5	5	7	9	14	6	8	1	0	4	10	9
59	8	14	2	15	7	11	13	11	15	7	1	14
60	5	4	7	13	8	15	13	5	12	14	7	3
61	1	5	9	13	12	2	3	15	3	5	2	5
62	7	8	8	5	8	4	11	0	8	2	11	3
63	8	0	3	2	15	8	4	7	9	15	7	10
64	12	2	3	13	6	1	13	14	9	1	4	11
65	4	3	11	15	6	13	12	4	13	1	11	3
66	5	14	12	4	7	9	8	2	2	12	10	8
67	13	2	7	0	9	9	7	12	10	8	14	10
68	1	3	4	14	9	10	8	7	12	13	14	6
69	0	9	13	5	14	6	14	5	11	2	6	10
70	4	7	1	11	3	3	2	2	6	12	0	11
71	5	9	3	6	0	10	9	12	15	11	4	10
72	2	14	8	3	10	2	5	6	3	1	15	15
73	1	11	8	1	4	12	10	10	7	8	1	3
74	11	9	0	8	14	0	8	4	13	15	8	0
75	14	7	13	6	1	8	7	12	8	9	11	5
76	4	5	13	7	4	12	8	14	6	4	0	8
77	8	5	12	1	12	9	9	9	5	13	11	6
78	0	12	6	12	1	1	6	12	7	6	11	3
79	4	2	3	10	7	9	1	11	14	15	7	7
80	0	15	4	3	14	10	3	11	8	13	5	6
81	0	5	7	12	11	13	13	5	13	14	10	7
82	15	8	9	8	8	4	5	1	15	8	7	9
83	11	2	10	14	11	4	14	0	15	5	7	14
84	9	15	13	13	4	4	12	2	12	7	14	2
85	10	2	15	11	9	7	11	15	8	8	7	11
86	9	13	13	8	8	4	1	7	1	0	5	14
87	11	2	3	2	4	8	6	3	15	6	1	13
88	11	9	6	5	8	14	10	0	4	15	0	7
89	15	10	12	12	3	7	11	15	7	8	2	7
90	5	11	7	12	12	4	3	8	12	9	5	4
91	0	8	9	2	1	7	7	1	0	0	15	3
92	4	10	2	8	2	6	11	3	15	11	0	5
93	6	5	10	5	7	7	9	4	5	3	2	4
94	4	9	0	15	1	7	1	2	12	8	0	4
95	0	8	5	3	4	13	1	1	11	15	2	14
96	11	7	7	5	0	10	5	13	6	9	1	11
97	15	8	14	8	6	4	15	2	10	8	6	15
98	8	8	1	6	10	1	11	0	3	8	5	0
99	4	10	12	2	13	8	12	6	7	11	1	13
100	0	6	1	7	2	11	2	9	0	11	7	6
101	1	15	8	9	5	10	10	15	5	2	1	10
102	15	9	0	9	8	14	9	8	2	10	8	2
103	5	6	2	7	0	11	4	7	11	4	4	8
104	14	1	7	0	5	2	0	6	4	7	15	10
105	4	12	0	8	7	15	7	13	8	9	13	10
106	7	6	13	13	15	11	14	1	5	9	6	2
107	15	9	13	9	8	7	7	13	7	0	2	6
108	2	13	7	8	5	5	6	11	7	11	15	2
109	9	14	7	10	11	2	6	12	1	6	11	6
110	9	8	10	9	12	9	9	0	13	7	11	9
111	15	4	9	4	2	7	15	6	12	11	5	5
112	5	4	11	11	12	5	15	10	1	5	10	4
113	1	4	14	3	8	9	12	6	14	0	7	15
114	9	6	12	13	0	3	8	11	3	9	15	2
115	13	1	0	2	8	6	7	15	14	14	5	15
116	11	12	1	6	9	9	8	7	2	13	11	7
117	9	10	8	12	4	11	5	1	11	5	2	0
118	2	11	10	9	15	13	6	13	13	15	5	10
119	2	15	5	12	8	2	2	0	12	6	13	0
120	0	15	12	8	15	4	14	10	7	7	3	11
121	0	2	11	6	6	14	3	12	10	0	5	6
122	7	4	1	12	15	11	8	7	7	0	10	13
123	15	10	0	8	0	8	2	5	2	8	7	9
124	12	6	2	1	0	6	10	4	11	13	7	12
