第１位　牡羊座 ##### 衝動買いと言えば、間違いなく牡羊座がナンバーワン！なにしろ、気に入ったモノは速攻ゲットが牡羊座のショッピングの鉄則。そこに迷いなどなく、その思いきりの良さは、見ていても気持ちいいし、店員さんだってうだうだされないから良客扱いしてくれるでしょう。ただし、そこに計算が働いていないのも確かなので、財布の中はいつだって、スッカラカンである可能性も十分。カードだって、限度額ギリギリをいったり来たりしてるかも。
第２位　水瓶座 ##### 第２位の水瓶座も１位の牡羊座に負けず劣らず速攻買いの名人です。値段やサイズにはお構いなしで、とにかく「いい！」と思ったら、はい、決まり。買って帰ってから、サイズが合わなかったり、役立たなかったとしても、それ程後悔することもなく、誰かにさっさとあげてしまうか、上手く他のことに利用したり出来るので、その場での判断は、とにかく好き嫌いのみで決められるのでしょう。自分では衝動買いだとは思っていないのも特徴。
第３位　牡牛座 ##### 衝動買いが好きというよりは、モノを買うこと自体が大好きな牡牛座。当然、その場で衝動的に買い物してしまうことも多くなります。普段はどちらかというと、何事もじっくり考えてから決めることの多い牡牛座ですが、美しいモノを見る目だけは確かなので、じっくり考えるなんて必要もなく、「欲しい！」という欲求が湧いてくるわけ。その調子でなんでも決められれば、「マイペースなヤツ」なんて言われてしまうこともないんだけどね。
第４位　天秤座 ##### いいものを見抜く、抜群のセンスを持った天秤座は、自分に似合うモノ、質のいいものを多くの品物の中から即、見つけられるので、買い物に時間はあまりかかりません。ですから衝動買いしても失敗が少ないので、自信を持って衝動買いに走れるのです。だからランキング上でも結構上位。ただ、１位の牡羊座みたいに、無鉄砲なわけではなく、買うのに時間がかからないというだけなんですけどね、本当は。
第５位　魚座 ##### 人の意見に左右されやすい魚座は、店員につかまって「お似合いだわ！」「これは本当にお買い得なんですよ！」といわれて、つい衝動買いしてしまうことはしょっちゅう。ただし、決断力がない面もあるので、何か買いたくて出かけても、友達や店員など、誰かが勧めてくれないと、「うーん、どうしよう、うーん・・」と悩んだ挙げ句、結局必要で買いに来たものも買わずに帰ってしまうことも。そんなわけで、中途半端な第５位にランクイン。
第６位　蠍座 ##### 一度「欲しい！」と思ったら、人でもモノでも、なかなか諦めきれないのが蠍座の特質。値段的に見合わなかったり、決心がつかなくて、欲しいモノをその場では諦めて立ち去っても、結局うろうろした挙げ句に、その店に戻ってきてご購入。そんな買い物の仕方が多いでしょう。これを衝動買いと呼んでいいかどうか、難しいところなので、第６位。時間的には迷っても、結局買っちゃってるんだから、やっぱり衝動買いだよね。
第７位　山羊座 ##### 何事も長期的な展望に基づき、計画性をもってあたる山羊座だから、衝動買いなどという愚かなマネは、まずしません。ところが結構その場で目についたモノを買ってしまうことがあるはず。何故なら、自分が欲しいモノのビジョンが頭の中に作られているので、それにピッタリくるものを見つけたら、即決断できるからです。ただ、これは他人から見れば衝動買いに見えても、本人にとっては至って計画的なお買い物。だから７位ってところです。
第８位　射手座 ##### あれもこれも目に付くモノはすぐ欲しくなるところは牡牛座と同じな射手座。ところが牡牛座がそのせいで衝動買いランキング２位に輝いているのに、射手座はといえば第８位。これはどうしたことでしょうか。じつは射手座の人は、欲しいモノ、やりたいことはいっぱいあるけど、決断力に欠けているので、もらえるモノはなんでももらっておくけど、自ら購入することには結構迷いが生じちゃうのです。だから牡羊座のように潔く衝動買いに走れないのでした。
第９位　双子座 ##### 気が多いといわれる双子座。まさにそれが買い物にも現れます。あっちにしようか、こっちにしようか、迷いに迷って、さらにもっといいものがあるんじゃないかと思って、他のお店へ・・。比較検討することこそ、双子座にとってショッピングの醍醐味なので、一目見て即、買うことは稀。あれこれ見比べて歩くことの方が、双子座にとっては楽しいんです。さんざん見て回って、満足した気分で帰ってみたら、ほとんど買い物してなかったりすることもあるのでは？
第１０位　乙女座 ##### 乙女座にとってショッピングは娯楽ではなく、あくまで実質本位なもの。必要なモノを必要な分だけ買いに行くのが鉄則です。商品を見るときも「なんとなくいい」とか「きれい」などという基準ではなく、いかに使いやすいか、効果があるかなどの視点から厳しくチェックするので、なかなかの買い物上手。つまり衝動買いに走ることは少ないのです。もしも「いいな」と思ったものがあっても、一度帰ってじっくり考えたり、サイズを測ったりしてから出直してくるでしょう。
第１１位　獅子座 ##### センスがいいかどうかは別として、自分の体や身の回りを華やかに個性的に飾り立ててくれるモノが大好きな獅子座。地味なモノ、ありがちなモノはあまり好まないので、どうしても買い物に満足しにくい傾向が。衝動買いしようにも、欲しいモノがあまり見つからないといった感じです。さんざん探した挙げ句、「こんなものしかないなら、自分で作った方がいい」なんて、手作りに励む場合も。創造力にあふれた獅子座ならではのワザでしょう。
第１２位　蟹座 ##### 獅子座のように身の回りを華やかに彩りたいわけではないけれど、人でも物でも、気に入ったモノだけを集めて、それを大切に慈しむのが蟹座。一度買った物には、かなりの愛着を持つのも特徴。そんなわけで、簡単に次々衝動買いしたり、新しい物に買い換えたりするのが苦手。選ぶときは慎重に、その代わり、一度手にした物は長く大切にする。それが蟹座のやり方。これからの時代、蟹座の考え方には、みんな学ぶべきものがあるのかもね。
